Simulacion del paciente 
31/03/17 15:15:41 dia: 0  error: 0.0107
31/03/17 15:15:44 dia: 1  error: 0.0119016
31/03/17 15:15:47 dia: 2  error: 0.0132382
31/03/17 15:15:50 dia: 3  error: 0.0147249
31/03/17 15:15:54 dia: 4  error: 0.0163785
31/03/17 15:15:57 dia: 5  error: 0.0182178
31/03/17 15:16:01 dia: 6  error: 0.0202637
31/03/17 15:16:04 dia: 7  error: 0.0225394
31/03/17 15:16:08 dia: 8  error: 0.0250706
31/03/17 15:16:11 dia: 9  error: 0.0278861
31/03/17 15:16:14 dia: 10  error: 0.0310178
31/03/17 15:16:18 dia: 11  error: 0.0345011
31/03/17 15:16:21 dia: 12  error: 0.0383756
31/03/17 15:16:24 dia: 13  error: 0.0426853
31/03/17 15:16:28 dia: 14  error: 0.0474789
31/03/17 15:16:31 dia: 15  error: 0.0528109
31/03/17 15:16:34 dia: 16  error: 0.0587417
31/03/17 15:16:37 dia: 17  error: 0.0653385
31/03/17 15:16:41 dia: 18  error: 0.0726761
31/03/17 15:16:44 dia: 19  error: 0.0808377
31/03/17 15:16:47 dia: 20  error: 0.089916
31/03/17 15:16:50 dia: 21  error: 0.100014
31/03/17 15:16:53 dia: 22  error: 0.111245
31/03/17 15:16:57 dia: 23  error: 0.123738
31/03/17 15:17:00 dia: 24  error: 0.137635
31/03/17 15:17:03 dia: 25  error: 0.153091
31/03/17 15:17:05 dia: 26  error: 0.170284
31/03/17 15:17:06 dia: 27  error: 0.189407
31/03/17 15:17:07 dia: 28  error: 0.210677
31/03/17 15:17:08 dia: 29  error: 0.234337
31/03/17 15:17:09 dia: 30  error: 0.260653
31/03/17 15:17:10 dia: 31  error: 0.289925
31/03/17 15:17:11 dia: 32  error: 0.322484
31/03/17 15:17:12 dia: 33  error: 0.3587
31/03/17 15:17:13 dia: 34  error: 0.398982
31/03/17 15:17:14 dia: 35  error: 0.443789
31/03/17 15:17:15 dia: 36  error: 0.493627
31/03/17 15:17:16 dia: 37  error: 0.549062
31/03/17 15:17:18 dia: 38  error: 0.610723
31/03/17 15:17:19 dia: 39  error: 0.679308
31/03/17 15:17:20 dia: 40  error: 0.755596
31/03/17 15:17:21 dia: 41  error: 0.84045
31/03/17 15:17:22 dia: 42  error: 0.934834
31/03/17 15:17:23 dia: 43  error: 0.0111298
31/03/17 15:17:24 dia: 44  error: 0.0123937
31/03/17 15:17:25 dia: 45  error: 0.0138012
31/03/17 15:17:26 dia: 46  error: 0.0153685
31/03/17 15:17:27 dia: 47  error: 0.0171137
31/03/17 15:17:28 dia: 48  error: 0.0190572
31/03/17 15:17:29 dia: 49  error: 0.0212214
31/03/17 15:17:30 dia: 50  error: 0.0236313
31/03/17 15:17:32 dia: 51  error: 0.0263149
31/03/17 15:17:33 dia: 52  error: 0.0293033
31/03/17 15:17:34 dia: 53  error: 0.032631
31/03/17 15:17:35 dia: 54  error: 0.0363366
31/03/17 15:17:36 dia: 55  error: 0.040463
31/03/17 15:17:37 dia: 56  error: 0.045058
31/03/17 15:17:38 dia: 57  error: 0.0501748
31/03/17 15:17:39 dia: 58  error: 0.0558727
31/03/17 15:17:41 dia: 59  error: 0.0622176
31/03/17 15:17:42 dia: 60  error: 0.069283
31/03/17 15:17:43 dia: 61  error: 0.0771508
31/03/17 15:17:44 dia: 62  error: 0.0859119
31/03/17 15:17:45 dia: 63  error: 0.095668
31/03/17 15:17:46 dia: 64  error: 0.106532
31/03/17 15:17:47 dia: 65  error: 0.118629
31/03/17 15:17:48 dia: 66  error: 0.132101
31/03/17 15:17:50 dia: 67  error: 0.147101
31/03/17 15:17:51 dia: 68  error: 0.163806
31/03/17 15:17:53 dia: 69  error: 0.182407
31/03/17 15:17:54 dia: 70  error: 0.20312
31/03/17 15:17:55 dia: 71  error: 0.226185
31/03/17 15:17:57 dia: 72  error: 0.251869
31/03/17 15:17:59 dia: 73  error: 0.280469
31/03/17 15:18:00 dia: 74  error: 0.312316
31/03/17 15:18:02 dia: 75  error: 0.347779
31/03/17 15:18:04 dia: 76  error: 0.387268
31/03/17 15:18:06 dia: 77  error: 0.431241
31/03/17 15:18:08 dia: 78  error: 0.480205
31/03/17 15:18:10 dia: 79  error: 0.534728
31/03/17 15:18:12 dia: 80  error: 0.59544
31/03/17 15:18:14 dia: 81  error: 0.663044
31/03/17 15:18:15 dia: 82  error: 0.738322
31/03/17 15:18:17 dia: 83  error: 0.822143
31/03/17 15:18:19 dia: 84  error: 0.915478
31/03/17 15:18:21 dia: 85  error: 0.0109057
31/03/17 15:18:23 dia: 86  error: 0.0121436
31/03/17 15:18:25 dia: 87  error: 0.0135219
31/03/17 15:18:26 dia: 88  error: 0.0150565
31/03/17 15:18:28 dia: 89  error: 0.0167651
31/03/17 15:18:30 dia: 90  error: 0.0186675
31/03/17 15:18:32 dia: 91  error: 0.0207855
31/03/17 15:18:34 dia: 92  error: 0.0231435
31/03/17 15:18:36 dia: 93  error: 0.0257687
31/03/17 15:18:38 dia: 94  error: 0.0286913
31/03/17 15:18:40 dia: 95  error: 0.0319448
31/03/17 15:18:42 dia: 96  error: 0.0355665
31/03/17 15:18:44 dia: 97  error: 0.0395981
31/03/17 15:18:45 dia: 98  error: 0.0440857
31/03/17 15:18:48 dia: 99  error: 0.0490807
31/03/17 15:18:50 dia: 100  error: 0.05464
31/03/17 15:18:52 dia: 101  error: 0.0608271
31/03/17 15:18:54 dia: 102  error: 0.0677125
31/03/17 15:18:56 dia: 103  error: 0.0753743
31/03/17 15:18:59 dia: 104  error: 0.0838994
31/03/17 15:19:01 dia: 105  error: 0.0933843
31/03/17 15:19:03 dia: 106  error: 0.103936
31/03/17 15:19:05 dia: 107  error: 0.115673
31/03/17 15:19:07 dia: 108  error: 0.128727
31/03/17 15:19:08 dia: 109  error: 0.143243
31/03/17 15:19:10 dia: 110  error: 0.159383
31/03/17 15:19:12 dia: 111  error: 0.177325
31/03/17 15:19:14 dia: 112  error: 0.197268
31/03/17 15:19:16 dia: 113  error: 0.219428
31/03/17 15:19:18 dia: 114  error: 0.244046
31/03/17 15:19:20 dia: 115  error: 0.271388
31/03/17 15:19:22 dia: 116  error: 0.301746
